English,Romanian
Access Number,Număr de acces
Access Numbers,Numere de acces
Account,Cont
Account Type,Tip de cont
Account Valid Days,Zile valabile pentru cont
Account Verification By,Verificarea contului de către
Accounts,Conturi
Accounts Report,Raport de conturi
ACD,ACD
Action,Acțiune
Action Type,Tipul acțiunii
Add,Adăuga
Add Country,Adăugați țară
Add Currency,Adăugați monedă
Add Destination,Adăugați destinație
Add Ratedeck,Adăugați Ratedeck
Address1,Adresa 1
Administrator,Administrator
Administrator Admin,Administrator Administrator
Admins,Administratori
After Balance,După echilibru
Alarm,Alarma
Alert Status,Stare de alertă
Allow integration with Fraud detection,Permiteți integrarea cu detectarea fraudei
Allow IP Management,Permiteți gestionarea IP
Allow Local Call,Permiteți apel local
Allow Local Calls,Permiteți apeluri locale
Allow Loss Less Routing,Permiteți pierderea mai puțin de rutare
Allow Max Retries,Permiteți reîncercări maxime
Allow Recording,Permiteți înregistrarea
Amount,Cantitate
Amount INR,Suma INR
Answered Calls,Apeluri cu răspuns
Applicable For,Aplicabil pentru
Apply on existing accounts,Aplicați pe conturile existente
Archive,Arhiva
ASR,ASR
Attachement,Atașament
Attempted Calls,Apeluri încercate
Audit,Audit
Audit Log,Jurnal de audit
Audit Logs Older Than Days,Jurnalele de audit mai vechi de zile
Authorize.net,Autorizați.net
Automatically,Automat
Balance,Echilibru
Balance Announcement,Anunț de sold
Balance Below,Soldul de mai jos
Base Currency,Moneda de bază
Basic,De bază
Basic Information,Informatii de baza
Batch Update,Actualizare lot
Before Balance INR,Înainte de sold INR
Begins With,Începe cu
Beta,Beta
Billable,Facturabil
Billing,Facturare
Billing Cycle,Ciclu de facturare
Billing Days,Zilele de facturare
Billing Information,Informații de facturare
Billing Type,Tipul de facturare
Body,Corp
Buy Cost,Cost de cumpărare
Call Barring,Blocare apeluri
Call Date,Data apelului
Call Detail Reports,Rapoarte detaliate apeluri
Call Max Length,Sunați la lungimea maximă
Call State,Starea apelului
Call Summary Reports,Rapoarte sumare apel
Call Timeout,Expirarea apelului
Call Type,Tipul apelului
Call Types,Tipuri de apeluri
Called Number,Număr apelat
Caller ID,ID-ul apelantului
Caller IDs,ID-uri ale apelantului
Caller IP,IP apelant
Caller Name,Numele apelantului
Caller Number,Număr apelant
Caller-Id-In-From,Identificator apelant
Calling Card,Cartea de vizită
Calls,Apeluri
Calls Breakdown,Defalcare apeluri
Calltype Information,Informații despre tipul de apel
Can be purchased?,Poate fi achiziționat?
Capital,Capital
Capture Server,Capture Server
Card Input Timeout,Timp de intrare card
Card Length,Lungimea cardului
Card Retries,Reîncercări de card
Carriers,Purtători
Category,Categorie
CC,CC
CDRs Older Than Days,CDR-urile mai vechi de zile
Charge Type,Tipul de încărcare
Charges Breakdown,Defalcarea taxelor
Charges History,Istoricul taxelor
CID,CID
City,Oraș
Clear,clar
Client IP,IP client
Client User Agent,Agent utilizator client
Code,Cod
Codecs,Codecuri
Commission,Comision
Commission Rate,Rata comisionului
Commission Reports,Rapoarte ale Comisiei
Company,Companie
Company Profiles,Profilurile companiei
Company Tax number,Numărul de impozit al societății
Completed Calls,Apeluri finalizate
Concurrent Calls,Apeluri simultane
Configuration,Configurare
Confirmed,Confirmat
Connection Cost,Costul conexiunii
Contains,Conține
Cost,Cost
Cost/Min,Cost / Min
Countries,Țări
Country,Țară
Country Code,Codul tarii
Country List,Lista țărilor
Country Reports,Rapoarte de țară
Coupon Information,Informații despre cupon
Coupon Number,Număr cupon
CPS,CPS
Create,Crea
Create Admin,Creați administrator
Create calltype,Creați tip de apel
Create Company Profile,Creați profilul companiei
Create Customer,Creați client
