English,Spanish
Access Number,Número de acceso
Access Numbers,Números de acceso
Account,Cuenta
Account Type,Tipo de cuenta
Account Valid Days,Días válidos de la cuenta
Account Verification By,Verificación de cuenta por
Accounts,Cuentas
Accounts Report,Informe de cuentas
ACD,ACD
Action,Acción
Action Type,tipo de acción
Add,Agregar
Add Country,Agregar país
Add Currency,Agregar moneda
Add Destination,Agregar destino
Add Ratedeck,Agregar Ratedeck
Address1,Dirección 1
Administrator,Administrador
Administrator Admin,Administrador Admin
Admins,Administradores
After Balance,Después del equilibrio
Alarm,Alarma
Alert Status,Estado de alerta
Allow integration with Fraud detection,Permitir la integración con la detección de fraudes
Allow IP Management,Permitir la gestión de IP
Allow Local Call,Permitir llamada local
Allow Local Calls,Permitir llamadas locales
Allow Loss Less Routing,Permitir enrutamiento sin pérdidas
Allow Max Retries,Permitir reintentos máximos
Allow Recording,Permitir grabación
Amount,Monto
Amount INR,Cantidad INR
Answered Calls,Llamadas contestadas
Applicable For,Aplicable para
Apply on existing accounts,Aplicar en cuentas existentes
Archive,Archivo
ASR,ASR
Attachement,Apego
Attempted Calls,Llamadas intentadas
Audit,Auditoría
Audit Log,Registro de auditoría
Audit Logs Older Than Days,Registros de auditoría anteriores a los días
Authorize.net,Authorize.net
Automatically,Automáticamente
Balance,Equilibrio
Balance Announcement,Anuncio de saldo
Balance Below,Saldo debajo
Base Currency,Moneda base
Basic,Básico
Basic Information,Información básica
Batch Update,Actualización por lotes
Before Balance INR,Antes del balance INR
Begins With,Empieza con
Beta,Beta
Billable,Facturable
Billing,Facturación
Billing Cycle,Ciclo de facturación
Billing Days,Días de facturación
Billing Information,Información de facturación
Billing Type,Tipo de facturación
Body,Cuerpo
Buy Cost,Costo de compra
Call Barring,Bloqueo de llamadas
Call Date,Fecha de llamada
Call Detail Reports,Informes detallados de llamadas
Call Max Length,Duración máxima de la llamada
Call State,Estado de llamada
Call Summary Reports,Informes de resumen de llamadas
Call Timeout,Tiempo de espera de llamada
Call Type,Tipo de llamada
Call Types,Tipos de llamadas
Called Number,Número llamado
Caller ID,Identificador de llamadas
Caller IDs,Identificadores de llamadas
Caller IP,IP de la persona que llama
Caller Name,Nombre de la persona que llama
Caller Number,Número de la persona que llama
Caller-Id-In-From,Identificador de llamada entrante
Calling Card,Tarjeta de llamada
Calls,Llamadas
Calls Breakdown,Desglose de llamadas
Calltype Information,Información del tipo de llamada
Can be purchased?,¿Se pueden comprar?
Capital,Capital
Capture Server,Servidor de captura
Card Input Timeout,Tiempo de espera de entrada de tarjeta
Card Length,Longitud de la tarjeta
Card Retries,Reintentos de tarjetas
Carriers,Transportistas
Category,Categoría
CC,CC
CDRs Older Than Days,CDR más antiguos que días
Charge Type,Tipo de carga
Charges Breakdown,Desglose de cargos
Charges History,Historial de cargos
CID,CID
City,Ciudad
Clear,Claro
Client IP,IP del cliente
Client User Agent,Agente de usuario del cliente
Code,Código
Codecs,Códecs
Commission,Comisión
Commission Rate,Porcentaje de comision
Commission Reports,Informes de comisiones
Company,Empresa
Company Profiles,Perfiles de empresa
Company Tax number,Número de identificación fiscal de la empresa
Completed Calls,Llamadas completadas
Concurrent Calls,Llamadas concurrentes
Configuration,Configuración
Confirmed,Confirmado
Connection Cost,Costo de conexión
Contains,Contiene
Cost,Costo
Cost/Min,Costo / Min
Countries,Países
Country,País
Country Code,Código de país
Country List,Lista de países
Country Reports,Informes de países
Coupon Information,Información del cupón
Coupon Number,Número de cupón
CPS,CPS
Create,Crear
Create Admin,Crear administrador
Create calltype,Crear tipo de llamada
Create Company Profile,Crear perfil de empresa
Create Customer,Crear cliente
Create Origination Rate,Crear tasa de originación
Create Product,Crear producto
Create Provider,Crear proveedor
Create Rate Group,Crear grupo de tarifas
Create Refill Coupon,Crear cupón de recarga
Create SIP Device,Crear dispositivo SIP
Create Tax,Crear impuesto
Created Date,Fecha de creación
Creation Date,Fecha de creación
Credit,Crédito
Credit Limit,Límite de crédito
Crons,Crons
Currency,Divisa
Currency Conversion Loss Percentage,Porcentaje de pérdida por conversión de moneda
Currency List,Lista de divisas
Customer,Cliente
Customer CDRs Report,Informe de CDR del cliente
Customer Summary,Resumen del cliente
Customer Summary Report,Informe resumido del cliente
Customers,Clientes
Dashboard,Tablero
Database,Base de datos
Date,Fecha
Debit,Débito
Debug,Depurar
Decimal Points,Puntos decimales
Default Increment,Incremento predeterminado
